Titel,Retskilde[Titel],Retskilde[PellerK],Retskilde[Accessionsnr],Fritekst
"BEK om brugerbetaling for godkendelse og tilsyn efter lov om miljøbeskyttelse og lov om miljøgodkendelse m.v. af husdyrbrug_B20070046305","BEK om brugerbetaling for godkendelse og tilsyn efter lov om miljøbeskyttelse og lov om miljøgodkendelse m.v. af husdyrbrug","","B20070046305",[[Category:NaN_KLE_Data]]
"Lov om miljøvurdering af planer og programmer_A20130093929","Lov om miljøvurdering af planer og programmer","","A20130093929",[[Category:NaN_KLE_Data]]
"Miljømålsloven_A20090093229_P31a-31e","Miljømålsloven","§ 31a-31e","A20090093229_P31a-31e",[[Category:NaN_KLE_Data]]
"BEK om kommunalbestyrelsens vandhandleplaner_B20110121905","BEK om kommunalbestyrelsens vandhandleplaner","","B20110121905",[[Category:NaN_KLE_Data]]
"Lov om vandplanlægning_A20130160630","Lov om vandplanlægning","","A20130160630",[[Category:NaN_KLE_Data]]
"BEK om vandråd vandråds samarbejde med kommunalbestyrelser og samarbejde mellem kommunalbestyrelser i et hovedvandopland om udarbejdelse af forslag til indsatsprogrammers supplerende vandløbsforansta_B20140012105","BEK om vandråd, vandråds samarbejde med kommunalbestyrelser og samarbejde mellem kommunalbestyrelser i et hovedvandopland om udarbejdelse af forslag til indsatsprogrammers supplerende vandløbsforanstaltninger","","B20140012105",[[Category:NaN_KLE_Data]]
"Miljøskadeloven_A20080046630","Miljøskadeloven","","A20080046630",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"BEK om svømmebadsanlæg m.v. og disses vandkvalitet_B20120062305","BEK om svømmebadsanlæg m.v. og disses vandkvalitet","","B20120062305",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905_P9","BEK om godkendelse af listevirksomhed","§ 9","B20140066905_P9",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"BEK om begrænsning af visse luftforurenende emissioner fra store fyringsanlæg_B20150016205","BEK om begrænsning af visse luftforurenende emissioner fra store fyringsanlæg","","B20150016205",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"Gasmotorbekendtgørelsen_B20120145005","Gasmotorbekendtgørelsen","","B20120145005",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905_P1","BEK om godkendelse af listevirksomhed","§ 1, Stk.2","B20140066905_P1",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"Dambrugsbekendtgørelsen_B20120013005","Dambrugsbekendtgørelsen","","B20120013005",[[Category:NaN_KLE_Data]]
"BEK om godkendelse af listevirksomhed_B20140066905","BEK om godkendelse af listevirksomhed","","B20140066905",[[Category:NaN_KLE_Data]]
"LBK om støtte til miljøforbedrende investeringer i mindre landbrug m.v._A19920117229_P14-16","LBK om støtte til miljøforbedrende investeringer i mindre landbrug m.v.","§ 14-16","A19920117229_P14-16",[[Category:NaN_KLE_Data]]
"LBK om støtte til miljøforbedrende investeringer i mindre landbrug m.v._A19920117229_P22","LBK om støtte til miljøforbedrende investeringer i mindre landbrug m.v.","§ 22","A19920117229_P22",[[Category:NaN_KLE_Data]]
"Lov om havstrategi_A20100052230","Lov om havstrategi","","A20100052230",[[Category:NaN_KLE_Data]]
"Havmiljøloven_A20130096329","Havmiljøloven","","A20130096329",[[Category:NaN_KLE_Data]]
"Havmiljøloven_A20130096329_P35-36","Havmiljøloven","§ 35-36","A20130096329_P35-36",[[Category:NaN_KLE_Data]]
"Strandrensningsbekendtgørelsen_B20060163005","Strandrensningsbekendtgørelsen","","B20060163005",[[Category:NaN_KLE_Data]]
"Havmiljøloven_A20130096329_P35-36","Havmiljøloven","§ 35-36","A20130096329_P35-36",[[Category:NaN_KLE_Data]]
"Modtagebekendtgørelsen_B20120041505","Modtagebekendtgørelsen","","B20120041505",[[Category:NaN_KLE_Data]]
"BEK om vurdering af virkninger på miljøet (VVM) af havbrug beliggende længere end 1 sømil fra kysten_B20120038205_P6","BEK om vurdering af virkninger på miljøet (VVM) af havbrug beliggende længere end 1 sømil fra kysten","§ 6, Stk.2","B20120038205_P6",[[Category:NaN_KLE_Data]]
"Jordforureningsloven_A20090142729_P1-2","Jordforureningsloven","§ 1-2","A20090142729_P1-2",[[Category:NaN_KLE_Data]]
"Jordforureningsloven_A20090142729_P48-49","Jordforureningsloven","§ 48-49","A20090142729_P48-49",[[Category:NaN_KLE_Data]]
"Jordforureningsloven_A20090142729_P3-16","Jordforureningsloven","§ 3-16","A20090142729_P3-16",[[Category:NaN_KLE_Data]]
"BEK om indberetning og registrering af jordforureningsdata_B20140065805","BEK om indberetning og registrering af jordforureningsdata","","B20140065805",[[Category:NaN_KLE_Data]]
"Jordforureningsloven_A20090142729_P17-25","Jordforureningsloven","§ 17-25","A20090142729_P17-25",[[Category:NaN_KLE_Data]]
"Jordforureningsloven_A20090142729_P26-38","Jordforureningsloven","§ 26-38","A20090142729_P26-38",[[Category:NaN_KLE_Data]]
"Jordforureningsloven_A20090142729_P39","Jordforureningsloven","§ 39","A20090142729_P39",[[Category:NaN_KLE_Data]]
"Jordforureningsloven_A20090142729_P65-68","Jordforureningsloven","§ 65-68","A20090142729_P65-68",[[Category:NaN_KLE_Data]]
"Jordforureningsloven_A20090142729_P50a","Jordforureningsloven","§ 50a","A20090142729_P50a",[[Category:NaN_KLE_Data]]
"BEK om definition af lettere forurenet jord_B20100055405","BEK om definition af lettere forurenet jord","","B20100055405",[[Category:NaN_KLE_Data]]
"Jordforureningsloven_A20090142729_P50-53","Jordforureningsloven","§ 50-53","A20090142729_P50-53",[[Category:NaN_KLE_Data]]
"Jordflytningsbekendtgørelsen_B20070147905","Jordflytningsbekendtgørelsen","","B20070147905",[[Category:NaN_KLE_Data]]
"Miljømålsloven_A20090093229_P35","Miljømålsloven","§ 35","A20090093229_P35",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P26a","Miljøbeskyttelsesloven","§ 26a","A20100087929_P26a",[[Category:NaN_KLE_Data]]
"Vandforsyningsloven_A20130119929_P12-13d","Vandforsyningsloven","§ 12-13d","A20130119929_P12-13d",[[Category:NaN_KLE_Data]]
"BEK om indsatsplaner_B20110131905","BEK om indsatsplaner","","B20110131905",[[Category:NaN_KLE_Data]]
"Lov om en Cityring_A20070055230_P14c","Lov om en Cityring","§ 14c","A20070055230_P14c",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P19-20","Miljøbeskyttelsesloven","§ 19-20","A20100087929_P19-20",[[Category:NaN_KLE_Data]]
"BEK om udførelse og sløjfning af boringer og brønde på land_B20130126005","BEK om udførelse og sløjfning af boringer og brønde på land","","B20130126005",[[Category:NaN_KLE_Data]]
"Jordvarmebekendtgørelsen_B20130131205","Jordvarmebekendtgørelsen","","B20130131205",[[Category:NaN_KLE_Data]]
"Olietankbekendtgørelsen_B20110132105","Olietankbekendtgørelsen","","B20110132105",[[Category:NaN_KLE_Data]]
"BEK om anvendelse af restprodukter og jord til bygge- og anlægsarbejder og om anvendelse af sorteret uforurenet bygge- og anlægsaffald_B20100166205","BEK om anvendelse af restprodukter og jord til bygge- og anlægsarbejder og om anvendelse af sorteret, uforurenet bygge- og anlægsaffald","","B20100166205",[[Category:NaN_KLE_Data]]
"Brændeovnsbekendtgørelsen_B20150004605_P17","Brændeovnsbekendtgørelsen","§ 17","B20150004605_P17",[[Category:NaN_KLE_Data]]
"Brændeovnsbekendtgørelsen_B20150004605_P14-15","Brændeovnsbekendtgørelsen","§ 14-15","B20150004605_P14-15",[[Category:NaN_KLE_Data]]
"Luftkvalitetsbekendtgørelsen_B20110132605_P8","Luftkvalitetsbekendtgørelsen","§ 8","B20110132605_P8",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P15a","Miljøbeskyttelsesloven","§ 15a","A20100087929_P15a",[[Category:NaN_KLE_Data]]
"Miljøzonebekendtgørelsen_B20110132305","Miljøzonebekendtgørelsen","","B20110132305",[[Category:NaN_KLE_Data]]
"Teknisk miljøzonebekendtgørelse_B20110070005","Teknisk miljøzonebekendtgørelse","","B20110070005",[[Category:NaN_KLE_Data]]
"Svovlbekendtgørelsen_B20140064005_P20","Svovlbekendtgørelsen","§ 20","B20140064005_P20",[[Category:NaN_KLE_Data]]
"Luftkvalitetsbekendtgørelsen_B20110132605_P8","Luftkvalitetsbekendtgørelsen","§ 8","B20110132605_P8",[[Category:NaN_KLE_Data]]
"Luftkvalitetsbekendtgørelsen_B20110132605_P10","Luftkvalitetsbekendtgørelsen","§ 10","B20110132605_P10",[[Category:NaN_KLE_Data]]
"BEK om kortlægning af ekstern støj og udarbejdelse af støjhandlingsplaner_B20110130905","BEK om kortlægning af ekstern støj og udarbejdelse af støjhandlingsplaner","","B20110130905",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P17","Miljøbeskyttelsesloven","§ 17","A20100087929_P17",[[Category:NaN_KLE_Data]]
"BEK om bekæmpelse af rotter m.v._B20120069605","BEK om bekæmpelse af rotter m.v.","","B20120069605",[[Category:NaN_KLE_Data]]
"LBK om drift af landbrugsjorder_A20090019129_P11","LBK om drift af landbrugsjorder","§ 11","A20090019129_P11",[[Category:NaN_KLE_Data]]
"LBK om drift af landbrugsjorder_A20090019129_P11","LBK om drift af landbrugsjorder","§ 11","A20090019129_P11",[[Category:NaN_KLE_Data]]
"LBK om hold af dyr_A20140046629","LBK om hold af dyr","","A20140046629",[[Category:NaN_KLE_Data]]
"Kemikalieloven_A20140084929","Kemikalieloven","","A20140084929",[[Category:NaN_KLE_Data]]
"Bekæmpelsesmiddelbekendtgørelsen_B20140015105","Bekæmpelsesmiddelbekendtgørelsen","","B20140015105",[[Category:NaN_KLE_Data]]
"Klassificeringsbekendtgørelsen_B20110107505","Klassificeringsbekendtgørelsen","","B20110107505",[[Category:NaN_KLE_Data]]
"BEK om brugerbetaling for godkendelse og tilsyn efter lov om miljøbeskyttelse og lov om miljøgodkendelse m.v. af husdyrbrug_B20070046305","BEK om brugerbetaling for godkendelse og tilsyn efter lov om miljøbeskyttelse og lov om miljøgodkendelse m.v. af husdyrbrug","","B20070046305",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesloven_A20090148629_P6","Husdyrgodkendelsesloven","§ 6","A20090148629_P6",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesloven_A20090148629_P8","Husdyrgodkendelsesloven","§ 8","A20090148629_P8",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_P4-7","Husdyrgødningsbekendtgørelsen","§ 4-7","B20150059405_P4-7",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_Kap3","Husdyrgødningsbekendtgørelsen","§ 8","B20150059405_Kap3",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_Kap4","Husdyrgødningsbekendtgørelsen","§ 9-10","B20150059405_Kap4",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_Kap5","Husdyrgødningsbekendtgørelsen","§ 11-12","B20150059405_Kap5",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_Kap6","Husdyrgødningsbekendtgørelsen","§ 15-17","B20150059405_Kap6",[[Category:NaN_KLE_Data]]
"BEK om kontrol af beholdere til opbevaring af flydende husdyrgødning og ensilagesaft_B20120132205","BEK om kontrol af beholdere til opbevaring af flydende husdyrgødning og ensilagesaft","","B20120132205",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_Kap7","Husdyrgødningsbekendtgørelsen","§ 18-21","B20150059405_Kap7",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_Kap8","Husdyrgødningsbekendtgørelsen","§ 22-24","B20150059405_Kap8",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_Kap9","Husdyrgødningsbekendtgørelsen","§ 25-26","B20150059405_Kap9",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_Kap10","Husdyrgødningsbekendtgørelsen","§ 27-30","B20150059405_Kap10",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesloven_A20090148629_KapKap. 2","Husdyrgodkendelsesloven","Kap.Kap. 2","A20090148629_KapKap. 2",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_Kap12","Husdyrgødningsbekendtgørelsen","§ 35-36","B20150059405_Kap12",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesloven_A20090148629_P10","Husdyrgodkendelsesloven","§ 10","A20090148629_P10",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305","Husdyrgodkendelsesbekendtgørelsen","","B20140128305",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesloven_A20090148629_P11","Husdyrgodkendelsesloven","§ 11","A20090148629_P11",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305","Husdyrgodkendelsesbekendtgørelsen","","B20140128305",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesloven_A20090148629_P12","Husdyrgodkendelsesloven","§ 12","A20090148629_P12",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305","Husdyrgodkendelsesbekendtgørelsen","","B20140128305",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesloven_A20090148629_P16","Husdyrgodkendelsesloven","§ 16","A20090148629_P16",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P27","Husdyrgodkendelsesbekendtgørelsen","§ 27","B20140128305_P27",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P28","Husdyrgodkendelsesbekendtgørelsen","§ 28","B20140128305_P28",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P29","Husdyrgodkendelsesbekendtgørelsen","§ 29","B20140128305_P29",[[Category:NaN_KLE_Data]]
"Husdyrgødningsbekendtgørelsen_B20150059405_P9-10","Husdyrgødningsbekendtgørelsen","§ 9-10","B20150059405_P9-10",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P30","Husdyrgodkendelsesbekendtgørelsen","§ 30","B20140128305_P30",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P31","Husdyrgodkendelsesbekendtgørelsen","§ 31","B20140128305_P31",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P32","Husdyrgodkendelsesbekendtgørelsen","§ 32","B20140128305_P32",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P33","Husdyrgodkendelsesbekendtgørelsen","§ 33","B20140128305_P33",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P34","Husdyrgodkendelsesbekendtgørelsen","§ 34","B20140128305_P34",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P35","Husdyrgodkendelsesbekendtgørelsen","§ 35","B20140128305_P35",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P36","Husdyrgodkendelsesbekendtgørelsen","§ 36","B20140128305_P36",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesbekendtgørelsen_B20140128305_P37","Husdyrgodkendelsesbekendtgørelsen","§ 37","B20140128305_P37",[[Category:NaN_KLE_Data]]
"Husdyrgodkendelsesloven_A20090148629_P44","Husdyrgodkendelsesloven","§ 44","A20090148629_P44",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"Hundeloven_A20150007629_P3a","Hundeloven","§ 3a","A20150007629_P3a",[[Category:NaN_KLE_Data]]
"Miljøaktivitetsbekendtgørelsen_B20120063905_P7-10","Miljøaktivitetsbekendtgørelsen","§ 7-10","B20120063905_P7-10",[[Category:NaN_KLE_Data]]
"Miljøaktivitetsbekendtgørelsen_B20120063905_P14","Miljøaktivitetsbekendtgørelsen","§ 14","B20120063905_P14",[[Category:NaN_KLE_Data]]
"Miljøaktivitetsbekendtgørelsen_B20120063905_P9-11","Miljøaktivitetsbekendtgørelsen","§ 9-11","B20120063905_P9-11",[[Category:NaN_KLE_Data]]
"Miljøaktivitetsbekendtgørelsen_B20120063905_P15","Miljøaktivitetsbekendtgørelsen","§ 15","B20120063905_P15",[[Category:NaN_KLE_Data]]
"Miljøaktivitetsbekendtgørelsen_B20120063905_P16-17","Miljøaktivitetsbekendtgørelsen","§ 16-17","B20120063905_P16-17",[[Category:NaN_KLE_Data]]
"BEK om badevand og badeområder_B20120093905_P2-10","BEK om badevand og badeområder","§ 2-10","B20120093905_P2-10",[[Category:NaN_KLE_Data]]
"BEK om badevand og badeområder_B20120093905_Kap3","BEK om badevand og badeområder","Kap.3","B20120093905_Kap3",[[Category:NaN_KLE_Data]]
"BEK om pelsdyrfarme m.v._B20060142805","BEK om pelsdyrfarme m.v.","","B20060142805",[[Category:NaN_KLE_Data]]
"Autoværkstedsbekendtgørelsen_B20110069905","Autoværkstedsbekendtgørelsen","","B20110069905",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"Vindmøllebekendtgørelsen_B20110128405","Vindmøllebekendtgørelsen","","B20110128405",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"Renseribekendtgørelsen_B20100008005","Renseribekendtgørelsen","","B20100008005",[[Category:NaN_KLE_Data]]
"VOC-bekendtgørelsen_B20120145205","VOC-bekendtgørelsen","","B20120145205",[[Category:NaN_KLE_Data]]
"BEK om forbud mod markafbrænding af halm mv._B20060131705","BEK om forbud mod markafbrænding af halm mv.","","B20060131705",[[Category:NaN_KLE_Data]]
"LBK om miljø og genteknologi_A20100086929","LBK om miljø og genteknologi","","A20100086929",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_Kap9","Miljøbeskyttelsesloven","Kap.9","A20100087929_Kap9",[[Category:NaN_KLE_Data]]
"BEK om brugerbetaling for godkendelse og tilsyn efter lov om miljøbeskyttelse og lov om miljøgodkendelse m.v. af husdyrbrug_B20070046305","BEK om brugerbetaling for godkendelse og tilsyn efter lov om miljøbeskyttelse og lov om miljøgodkendelse m.v. af husdyrbrug","","B20070046305",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_Kap9","Miljøbeskyttelsesloven","Kap.9","A20100087929_Kap9",[[Category:NaN_KLE_Data]]
"BEK om brugerbetaling for godkendelse og tilsyn efter lov om miljøbeskyttelse og lov om miljøgodkendelse m.v. af husdyrbrug_B20070046305","BEK om brugerbetaling for godkendelse og tilsyn efter lov om miljøbeskyttelse og lov om miljøgodkendelse m.v. af husdyrbrug","","B20070046305",[[Category:NaN_KLE_Data]]
"BEK om miljøtilsyn_B20130049705","BEK om miljøtilsyn","","B20130049705",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_Kap9","Miljøbeskyttelsesloven","Kap.9","A20100087929_Kap9",[[Category:NaN_KLE_Data]]
